path,transcription
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SX146.WAV.wav,CYCLICAL PROGRAMS WILL NEVER COMPILE.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SX236.WAV.wav,CLEAR PRONUNCIATION IS APPRECIATED.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SX326.WAV.wav,STEVE COLLECTS RARE AND NOVEL COINS.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SX416.WAV.wav,A HUGE POWER OUTAGE RARELY OCCURS.
TIMIT/data/TRAIN\DR1\FDAW0\VOCODED_SX56.WAV.wav,ACADEMIC APTITUDE GUARANTEES YOUR DIPLOMA.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SI1149.WAV.wav,THE RESPONSE OF REACTION IS DOMINATED BY A CONCERN FOR WHAT IS VANISHING.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SI1779.WAV.wav,"THEY USED PINK, TAN, OR CREAM POWDER."
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SI2075.WAV.wav,NOW FORGET ALL THIS OTHER.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SX159.WAV.wav,THE GOVERNMENT SOUGHT AUTHORIZATION OF HIS CITIZENSHIP.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SX249.WAV.wav,I ATE EVERY OYSTER ON NORA'S PLATE.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SX339.WAV.wav,DID SHAWN CATCH THAT BIG GOOSE WITHOUT HELP?
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SX429.WAV.wav,A TOOTHPASTE TUBE SHOULD BE SQUEEZED FROM THE BOTTOM.
TIMIT/data/TRAIN\DR1\FDML0\VOCODED_SX69.WAV.wav,EAT YOUR RAISINS OUTDOORS ON THE PORCH STEPS.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SI1418.WAV.wav,"PERSONAL PREDISPOSITIONS TEND TO BLUNT THE EAR AND, IN TURN, THE VOICE AS WELL."
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SI2048.WAV.wav,"THE KID HAS NO MANNERS, BOYS."
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SI788.WAV.wav,WE HAVE BECOME AMATEUR INSURANCE EXPERTS AND FINE-FEATHERED YARD BIRDS.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SX158.WAV.wav,THE DRUNKARD IS A SOCIAL OUTCAST.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SX248.WAV.wav,READING IN POOR LIGHT GIVES YOU EYESTRAIN.
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SX338.WAV.wav,"THE DARK, MURKY LAGOON WOUND AROUND FOR MILES."
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SX428.WAV.wav,"A CRAB CHALLENGED ME, BUT A QUICK STAB VANQUISHED HIM."
TIMIT/data/TRAIN\DR1\FECD0\VOCODED_SX68.WAV.wav,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SI1148.WAV.wav,CHANGE INVOLVES THE DISPLACEMENT OF FORM.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SI1778.WAV.wav,"WOMEN DIDN'T USE WHITE FACE POWDER NOWADAYS, HE RECALLED."
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SI518.WAV.wav,HIGHER TOLL RATES ALSO ARE HELPING BOOST REVENUES.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SX158.WAV.wav,THE DRUNKARD IS A SOCIAL OUTCAST.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SX248.WAV.wav,READING IN POOR LIGHT GIVES YOU EYESTRAIN.
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SX338.WAV.wav,"THE DARK, MURKY LAGOON WOUND AROUND FOR MILES."
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SX428.WAV.wav,"A CRAB CHALLENGED ME, BUT A QUICK STAB VANQUISHED HIM."
TIMIT/data/TRAIN\DR1\FETB0\VOCODED_SX68.WAV.wav,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SI1434.WAV.wav,CONCEIVABLY THE SUBMARINE DEFENSE PROBLEM CAN BE SOLVED BY SUFFICIENT FORCES.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SI1763.WAV.wav,THAT'S YOUR HEADACHE.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SI804.WAV.wav,THIS IS PARTICULARLY TRUE IN SITE SELECTION.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SX174.WAV.wav,THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SX264.WAV.wav,WE SAW EIGHT TINY ICICLES BELOW OUR ROOF.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SX354.WAV.wav,A LAWYER WAS APPOINTED TO EXECUTE HER WILL.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SX444.WAV.wav,THE TODDLER FOUND A CLAMSHELL NEAR THE CAMP SITE.
TIMIT/data/TRAIN\DR1\FJSP0\VOCODED_SX84.WAV.wav,COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SI1608.WAV.wav,"SHE SMILED, AND TEETH GLEAMED IN HER BEAUTIFULLY MODELED OLIVE FACE."
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SI2238.WAV.wav,HIS LIPS FELT GLUED TOGETHER.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SI978.WAV.wav,"FOR GIRLS, THE OVERPROTECTION IS FAR MORE PERVASIVE."
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SX168.WAV.wav,WHO TOOK THE KAYAK DOWN THE BAYOU?
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SX258.WAV.wav,THE ESSAY UNDENIABLY REFLECTS OUR VIEW ABLY.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SX348.WAV.wav,I'LL HAVE A SCOOP OF THAT EXOTIC PURPLE AND TURQUOISE SHERBET.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SX438.WAV.wav,SHELL SHOCK CAUSED BY SHRAPNEL IS SOMETIMES CURED THROUGH GROUP THERAPY.
TIMIT/data/TRAIN\DR1\FKFB0\VOCODED_SX78.WAV.wav,DOCTORS PRESCRIBE DRUGS TOO FREELY.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SI1377.WAV.wav,"AS THESE MALADIES OVERLAP, SO MUST THE CURE."
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SI2007.WAV.wav,"TO HIS PUZZLEMENT, THERE SUDDENLY WAS NO HAZE."
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SI747.WAV.wav,ADD REMAINING INGREDIENTS AND BRING TO A BOIL.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SX117.WAV.wav,THE MANGO AND THE PAPAYA ARE IN A BOWL.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SX207.WAV.wav,DO YOU HEAR THE SLEIGH BELLS RINGING?
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SX297.WAV.wav,ROCK-AND-ROLL MUSIC HAS A GREAT RHYTHM.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SX333.WAV.wav,AN ADULT MALE BABOON'S TEETH ARE NOT SUITABLE FOR EATING SHELLFISH.
TIMIT/data/TRAIN\DR1\FMEM0\VOCODED_SX387.WAV.wav,THE GIANT REDWOODS SHIMMERED IN THE GLISTENING SUN.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SI1244.WAV.wav,"THE SCULPTOR LOOKED AT HIM, BUGEYED AND AMAZED, ANGRY."
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SI1874.WAV.wav,HE MIGHT SAY OR DO SOMETHING FOOLISH.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SI614.WAV.wav,"THIS BIG, FLEXIBLE VOICE WITH UNCOMMON RANGE HAS BEEN SUPERBLY DISCIPLINED."
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SX164.WAV.wav,CURIOSITY AND MEDIOCRITY SELDOM COEXIST.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SX327.WAV.wav,AL RECEIVED A JOINT APPOINTMENT IN THE BIOLOGY AND ENGINEERING DEPARTMENTS.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SX344.WAV.wav,I KNOW I DIDN'T MEET HER EARLY ENOUGH.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SX434.WAV.wav,EACH STAG SURELY FINDS A BIG FAWN.
TIMIT/data/TRAIN\DR1\FSAH0\VOCODED_SX74.WAV.wav,AN OFFICIAL DEADLINE CANNOT BE POSTPONED.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SI1025.WAV.wav,NICE COUNTRY TO MEET A LION IN FACE TO FACE.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SI2285.WAV.wav,THE GIRL NODDED UNDERSTANDINGLY.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SI696.WAV.wav,SOME HAVE WALKED THROUGH PAIN AND SORROW TO BRING YOU THEIR MESSAGE OF HOPE.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SX125.WAV.wav,WESTCHESTER IS A COUNTY IN NEW YORK.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SX215.WAV.wav,THE SERMON EMPHASIZED THE NEED FOR AFFIRMATIVE ACTION.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SX305.WAV.wav,COTTAGE CHEESE WITH CHIVES IS DELICIOUS.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SX35.WAV.wav,HELP CELEBRATE YOUR BROTHER'S SUCCESS.
TIMIT/data/TRAIN\DR1\FSJK1\VOCODED_SX395.WAV.wav,"I TOOK HER WORD FOR IT, BUT IS SHE REALLY GOING WITH YOU?"
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SI1621.WAV.wav,NOW HE'LL CHOKE FOR SURE.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SI2251.WAV.wav,HE HAD ALWAYS BEEN A MESSY AND NEGLIGENT MAN.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SI991.WAV.wav,SHE HAD NO WAY OF KNOWING IN ADVANCE WHETHER AN OPPORTUNITY FOR MURDER EXISTED.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SX181.WAV.wav,RICH LOOKED FOR SPOTTED HYENAS AND JAGUARS ON THE SAFARI.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SX271.WAV.wav,BE CAREFUL NOT TO PLOW OVER THE FLOWER BEDS.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SX361.WAV.wav,THE SPEECH SYMPOSIUM MIGHT BEGIN MONDAY.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SX451.WAV.wav,THE THICK ELM FOREST WAS NEARLY OVERWHELMED BY DUTCH ELM DISEASE.
TIMIT/data/TRAIN\DR1\FSMA0\VOCODED_SX91.WAV.wav,THE MISPRINT PROVOKED AN IMMEDIATE DISCLAIMER.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SI1402.WAV.wav,WE DO NOT ARRIVE AT SPATIAL IMAGES BY MEANS OF THE SENSE OF TOUCH BY ITSELF.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SI2181.WAV.wav,"PART COLLIE, PART WIRE-HAIRED TERRIER."
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SI921.WAV.wav,"DIFFERENCES WERE RELATED TO SOCIAL, ECONOMIC, AND EDUCATIONAL BACKGROUNDS."
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SX111.WAV.wav,HIS SUDDEN DEPARTURE SHOCKED THE CAST.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SX201.WAV.wav,APPROACH YOUR INTERVIEW WITH STATUESQUE COMPOSURE.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SX21.WAV.wav,ALFALFA IS HEALTHY FOR YOU.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SX291.WAV.wav,THE AVALANCHE TRIGGERED A MINOR EARTHQUAKE.
TIMIT/data/TRAIN\DR1\FTBR0\VOCODED_SX381.WAV.wav,WE WELCOME MANY NEW STUDENTS EACH YEAR.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SI1032.WAV.wav,IT WAS THE STORY OF THE RHINOCEROS FIGHT ALL OVER AGAIN.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SI1510.WAV.wav,A FLASH ILLUMINED THE TREES AS A CROOKED BOLT TWIGGED IN SEVERAL DIRECTIONS.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SI2292.WAV.wav,IS IT ANYTHING LIKE COOKED-OVER OATMEAL?
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SX132.WAV.wav,PUBLICITY AND NOTORIETY GO HAND IN HAND.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SX222.WAV.wav,YOU ALWAYS COME UP WITH PATHOLOGICAL EXAMPLES.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SX312.WAV.wav,THOSE ANSWERS WILL BE STRAIGHTFORWARD IF YOU THINK THEM THROUGH CAREFULLY FIRST.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SX402.WAV.wav,WE'LL SERVE RHUBARB PIE AFTER RACHEL'S TALK.
TIMIT/data/TRAIN\DR1\FVFB0\VOCODED_SX42.WAV.wav,BIBLICAL SCHOLARS ARGUE HISTORY.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SI1466.WAV.wav,"IN SIMPLER TERMS, IT AMOUNTS TO POINTING THE PLATFORM IN THE PROPER DIRECTION."
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SI2096.WAV.wav,RAN AWAY ON A BLACK NIGHT WITH A LAWFUL WEDDED MAN.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SI836.WAV.wav,NO MANUFACTURER HAS TAKEN THE INITIATIVE IN POINTING OUT THE COST INVOLVED.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SX116.WAV.wav,CLASP THE SCREW IN YOUR LEFT HAND.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SX206.WAV.wav,"WHEN PEELING AN ORANGE, IT IS HARD NOT TO SPRAY JUICE."
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SX26.WAV.wav,MOST YOUNG RISE EARLY EVERY MORNING.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SX296.WAV.wav,THE TWO ARTISTS EXCHANGED AUTOGRAPHS.
TIMIT/data/TRAIN\DR1\FVMH0\VOCODED_SX386.WAV.wav,WHICH CHURCH DO THE SMITHS WORSHIP IN?
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SI1194.WAV.wav,WOE BETIDE THE INTERVIEWEE IF HE ANSWERED VAGUELY.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SI1824.WAV.wav,POSITIVE RESULTS START WHEN IT GOES TOWARDS THE HAND YOU USE TO MAKE YOUR MARK.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SI564.WAV.wav,WINE GLASS HEELS ARE TO BE FOUND IN BOTH HIGH AND SEMI-HEIGHTS.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SX114.WAV.wav,THE CARTOON FEATURES A MUSKRAT AND A TADPOLE.
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SX204.WAV.wav,EVEN I OCCASIONALLY GET THE MONDAY BLUES!
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SX24.WAV.wav,"ALTHOUGH ALWAYS ALONE, WE SURVIVE."
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SX294.WAV.wav,SHOULD GIRAFFES BE KEPT IN SMALL ZOOS?
TIMIT/data/TRAIN\DR1\MCPM0\VOCODED_SX384.WAV.wav,PLEASE SHORTEN THIS SKIRT FOR JOYCE.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SI1261.WAV.wav,"IN TWO CASES, AIRPLANES ONLY WERE INDICATED."
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SI1837.WAV.wav,HER HUM BECAME A GURGLE OF SURPRISE.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SI631.WAV.wav,PROGRAM NOTE READS AS FOLLOWS: TAKE HANDS; THIS URGENT VISAGE BECKONS US.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SX181.WAV.wav,RICH LOOKED FOR SPOTTED HYENAS AND JAGUARS ON THE SAFARI.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SX271.WAV.wav,BE CAREFUL NOT TO PLOW OVER THE FLOWER BEDS.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SX361.WAV.wav,THE SPEECH SYMPOSIUM MIGHT BEGIN MONDAY.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SX451.WAV.wav,THE THICK ELM FOREST WAS NEARLY OVERWHELMED BY DUTCH ELM DISEASE.
TIMIT/data/TRAIN\DR1\MDAC0\VOCODED_SX91.WAV.wav,THE MISPRINT PROVOKED AN IMMEDIATE DISCLAIMER.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SI1053.WAV.wav,"WHATEVER THEIR FAULTS, THEY ARE NOT HYPOCRITES."
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SI1683.WAV.wav,HAVE THEY INHERITED SOME MONEY OR SOMETHING?
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SI552.WAV.wav,WE THINK DIFFERENTLY.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SX153.WAV.wav,SCHOLASTIC APTITUDE IS JUDGED BY STANDARDIZED TESTS.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SX243.WAV.wav,THEY ALL AGREE THAT THE ESSAY IS BARELY INTELLIGIBLE.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SX333.WAV.wav,AN ADULT MALE BABOON'S TEETH ARE NOT SUITABLE FOR EATING SHELLFISH.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SX423.WAV.wav,SMASH LIGHTBULBS AND THEIR CASH VALUE WILL DIMINISH TO NOTHING.
TIMIT/data/TRAIN\DR1\MDPK0\VOCODED_SX63.WAV.wav,CONTINENTAL DRIFT IS A GEOLOGICAL THEORY.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SI1374.WAV.wav,THIS LEAVES THE ORDERING OF ENTRIES VARIABLE.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SI2004.WAV.wav,SHE HAD JUMPED AWAY FROM HIS SHY TOUCH LIKE A CAT CONFRONTED BY A SIDEWINDER.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SI744.WAV.wav,GET COPPER OR EARTHENWARE MUGS THAT KEEP BEER CHILLED OR SOUP HOT.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SX114.WAV.wav,THE CARTOON FEATURES A MUSKRAT AND A TADPOLE.
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SX204.WAV.wav,EVEN I OCCASIONALLY GET THE MONDAY BLUES!
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SX24.WAV.wav,"ALTHOUGH ALWAYS ALONE, WE SURVIVE."
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SX294.WAV.wav,SHOULD GIRAFFES BE KEPT IN SMALL ZOOS?
TIMIT/data/TRAIN\DR1\MEDR0\VOCODED_SX384.WAV.wav,PLEASE SHORTEN THIS SKIRT FOR JOYCE.
TIMIT/data/TRAIN\DR1\MGRL0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR1\MGRL0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR1\MGRL0\VOCODED_SI1497.WAV.wav,FROM CHILDHOOD HE HAD KNOWN ALL ABOUT KNIVES.
